ar,h,f,spe
MR_599912_1_6_1_4_7_13,-890.865586,-890.930931,-891.09478
MR_599912_1_71_8_6_8_27,-740.012247,-740.072494,-740.305713
MR_82553_0_12_1_1_5_5,-1043.300654,-1043.370699,-1043.526529
MR_82553_0_26_2_1_5_10,-737.503575,-737.56176,-737.698633
MR_82553_0_29_2_6_8_44,-948.695937,-948.763901,-949.009852
MR_82553_0_39_3_2_6_1,-850.768575,-850.828063,-850.978153
MR_82553_0_44_4_6_6_1,-854.183464,-854.250886,-854.446743
MR_82553_0_48_4_4_5_6,-795.312255,-795.374839,-795.499977
MR_82553_0_51_4_2_8_26,-913.954857,-914.023017,-914.314996
MR_82553_0_59_5_3_8_17,-861.380743,-861.44934,-861.697975
MR_82553_0_61_6_7_7_19,-1023.809553,-1023.88646,-1024.106427
MR_82553_0_71_8_55_8_43,-1047.169873,-1047.240354,-1047.531903
MR_82553_0_7_1_4_8_1,-951.400827,-951.468734,-951.686889
MR_82553_0_9_1_7_2_6,-983.543597,-983.613324,-983.806439
MR_127568_1_0_1_4,-667.068578,-667.124443,-667.266159
MR_127568_1_14_7_1,-538.564085,-538.614127,-538.768812
MR_127568_1_15_8_2,-514.292907,-514.341047,-514.44867
MR_127568_1_17_2_12,-455.136746,-455.181887,-455.274878
MR_127568_1_21_6_6,-553.706656,-553.760258,-553.892844
MR_127568_1_27_4_11,-401.023349,-401.066415,-401.169122
MR_127568_1_29_6_1,-514.410401,-514.459853,-514.566997
MR_177320_1_17_2_5_3_6,-891.077814,-891.146902,-891.323302
MR_177320_1_19_2_10_5_1,-797.663729,-797.72688,-797.886522
MR_177320_1_22_2_9_8_38,-969.734179,-969.799681,-970.043967
MR_177320_1_34_3_3_7_15,-966.158048,-966.223185,-966.393523
MR_177320_1_40_3_2_7_19,-926.802266,-926.867449,-927.008183
MR_177320_1_43_4_3_5_11,-737.775705,-737.831572,-737.903285
MR_177320_1_49_4_1_6_8,-757.198793,-757.2588,-757.368516
MR_177320_1_50_4_1_7_15,-852.831756,-852.895072,-853.057247
MR_177320_1_51_4_1_8_19,-896.092519,-896.157202,-896.363759
MR_177320_1_54_5_1_7_15,-872.71105,-872.773454,-872.923606
MR_177320_1_56_5_9_5_7,-873.348707,-873.408845,-873.521711
MR_177320_1_59_5_12_8_56,-968.028167,-968.08934,-968.250545
MR_177320_1_66_7_17_7_9,-989.228344,-989.29735,-989.491019
MR_177320_1_68_7_4_7_11,-964.962565,-965.026483,-965.176181
MR_177320_1_71_8_32_8_46,-1048.279997,-1048.346704,-1048.651615
MR_177320_1_7_1_5_8_19,-1162.137385,-1162.213028,-1162.460712
MR_421_1_22_2_2_8_53,-728.520179,-728.591269,-728.896687
MR_421_1_38_3_5_5_5,-788.171221,-788.244518,-788.507215
